2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:51 - SYN flood detected from 127.0.0.1 (Unknown, Unknown)
2026-01-16 13:23:52 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:52 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:52 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:52 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:52 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:53 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:54 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
2026-01-16 13:23:55 - UDP flood detected from 10.255.255.254 (Unknown, Unknown)
